# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
 2035       2.485015820191e+02       1.151167123253e-09       5.862440149899e-07 
 2036       2.487073040005e+02       1.149667510632e-09       5.859062363476e-07 
 2037       2.489071548728e+02       1.148170026177e-09       5.855377325865e-07 
 2038       2.491009348626e+02       1.146674668007e-09       5.851385213887e-07 
 2039       2.492884434637e+02       1.145181434022e-09       5.847086210517e-07 
 2040       2.494694794366e+02       1.143690321903e-09       5.842480504904e-07 
 2041       2.496438408071e+02       1.142201329110e-09       5.837568292388e-07 
 2042       2.498113248660e+02       1.140714452884e-09       5.832349774521e-07 
 2043       2.499717281675e+02       1.139229690241e-09       5.826825159087e-07 
 2044       2.501248465291e+02       1.137747037974e-09       5.820994660117e-07 
 2045       2.502704750302e+02       1.136266492650e-09       5.814858497915e-07 
 2046       2.504084080114e+02       1.134788050612e-09       5.808416899071e-07 
 2047       2.505384390735e+02       1.133311707974e-09       5.801670096483e-07 
 2048       2.506603610770e+02       1.131837460621e-09       5.794618329378e-07 
 2049       2.507739661407e+02       1.130365304211e-09       5.787261843328e-07 
 2050       2.508790456410e+02       1.128895234168e-09       5.779600890270e-07 
 2051       2.509753902115e+02       1.127427245687e-09       5.771635728529e-07 
 2052       2.510627897413e+02       1.125961333726e-09       5.763366622832e-07 
 2053       2.511410333747e+02       1.124497493012e-09       5.754793844332e-07 
 2054       2.512099095102e+02       1.123035718035e-09       5.745917670624e-07 
 2055       2.512692057995e+02       1.121576003047e-09       5.736738385767e-07 
 2056       2.513187091468e+02       1.120118342065e-09       5.727256280303e-07 
 2057       2.513582057077e+02       1.118662728863e-09       5.717471651273e-07 
 2058       2.513874808886e+02       1.117209156977e-09       5.707384802244e-07 
 2059       2.514063193455e+02       1.115757619701e-09       5.696996043321e-07 
 2060       2.514145049835e+02       1.114308110086e-09       5.686305691170e-07 
 2061       2.514118209556e+02       1.112860620939e-09       5.675314069037e-07 
 2062       2.513980496620e+02       1.111415144820e-09       5.664021506771e-07 
 2063       2.513729727490e+02       1.109971674045e-09       5.652428340835e-07 
 2064       2.513363711084e+02       1.108530200681e-09       5.640534914336e-07 
 2065       2.512880599049e+02       1.107090718014e-09       5.628342451485e-07 
 2066       2.512279939307e+02       1.105653224977e-09       5.615855691133e-07 
 2067       2.511561629958e+02       1.104217721780e-09       5.603080281263e-07 
 2068       2.510725569678e+02       1.102784208452e-09       5.590021907177e-07 
 2069       2.509771657718e+02       1.101352684834e-09       5.576686291590e-07 
 2070       2.508699793905e+02       1.099923150583e-09       5.563079194721e-07 
 2071       2.507509878646e+02       1.098495605169e-09       5.549206414389e-07 
 2072       2.506201812925e+02       1.097070047873e-09       5.535073786105e-07 
 2073       2.504775498308e+02       1.095646477786e-09       5.520687183169e-07 
 2074       2.503230836941e+02       1.094224893813e-09       5.506052516762e-07 
 2075       2.501567731551e+02       1.092805294662e-09       5.491175736039e-07 
 2076       2.499786085452e+02       1.091387678855e-09       5.476062828228e-07 
 2077       2.497885802540e+02       1.089972044717e-09       5.460719818718e-07 
 2078       2.495866787295e+02       1.088558390380e-09       5.445152771161e-07 
 2079       2.493728944787e+02       1.087146713782e-09       5.429367787560e-07 
 2080       2.491472180672e+02       1.085737012663e-09       5.413371008365e-07 
 2081       2.489096401193e+02       1.084329284567e-09       5.397168612573e-07 
 2082       2.486601513187e+02       1.082923526840e-09       5.380766817815e-07 
 2083       2.483987424079e+02       1.081519736630e-09       5.364171880458e-07 
 2084       2.481254041885e+02       1.080117910881e-09       5.347390095694e-07 
 2085       2.478401275217e+02       1.078718046341e-09       5.330427797643e-07 
 2086       2.475429033279e+02       1.077320139551e-09       5.313291359437e-07 
 2087       2.472337225872e+02       1.075924186852e-09       5.295987193327e-07 
 2088       2.469125763391e+02       1.074530184379e-09       5.278521750771e-07 
 2089       2.465794556830e+02       1.073138128063e-09       5.260901522532e-07 
 2090       2.462343517781e+02       1.071748013627e-09       5.243133038773e-07 
 2091       2.458772558436e+02       1.070359836589e-09       5.225222869154e-07 
 2092       2.455081591586e+02       1.068973592255e-09       5.207177622926e-07 
 2093       2.451270530627e+02       1.067589275726e-09       5.189003949029e-07 
 2094       2.447339289554e+02       1.066206881888e-09       5.170708536185e-07 
 2095       2.443287782968e+02       1.064826405419e-09       5.152298112997e-07 
 2096       2.439115926074e+02       1.063447840783e-09       5.133779448045e-07 
 2097       2.434823634685e+02       1.062071182229e-09       5.115159349978e-07 
 2098       2.430410825218e+02       1.060696423793e-09       5.096444667618e-07 
 2099       2.425877414700e+02       1.059323559295e-09       5.077642290050e-07 
 2100       2.421223320767e+02       1.057952582338e-09       5.058759146719e-07 
 2101       2.416448461666e+02       1.056583486306e-09       5.039802207531e-07 
 2102       2.411552756254e+02       1.055216264366e-09       5.020778482945e-07 
 2103       2.406536124001e+02       1.053850909463e-09       5.001695024075e-07 
 2104       2.401398743744e+02       1.052487415626e-09       4.982556371714e-07 
 2105       2.396141831910e+02       1.051125781901e-09       4.963356874138e-07 
 2106       2.390766869709e+02       1.049766008469e-09       4.944088289361e-07 
 2107       2.385275344881e+02       1.048408095346e-09       4.924742328829e-07 
 2108       2.379668751704e+02       1.047052042383e-09       4.905310657308e-07 
 2109       2.373948591001e+02       1.045697849264e-09       4.885784892770e-07 
 2110       2.368116370150e+02       1.044345515508e-09       4.866156606288e-07 
 2111       2.362173603089e+02       1.042995040464e-09       4.846417321922e-07 
 2112       2.356121810330e+02       1.041646423313e-09       4.826558516608e-07 
 2113       2.349962518960e+02       1.040299663066e-09       4.806571620046e-07 
 2114       2.343697262653e+02       1.038954758564e-09       4.786448014594e-07 
 2115       2.337327581677e+02       1.037611708475e-09       4.766179035151e-07 
 2116       2.330855022905e+02       1.036270511296e-09       4.745755969048e-07 
 2117       2.324281139818e+02       1.034931165350e-09       4.725170055936e-07 
 2118       2.317607492516e+02       1.033593668787e-09       4.704412487678e-07 
 2119       2.310835647727e+02       1.032258019581e-09       4.683474408230e-07 
 2120       2.303967178812e+02       1.030924215530e-09       4.662346913536e-07 
 2121       2.297003665778e+02       1.029592254254e-09       4.641021051415e-07 
 2122       2.289946695280e+02       1.028262133199e-09       4.619487821446e-07 
 2123       2.282797860634e+02       1.026933849628e-09       4.597738174858e-07 
 2124       2.275558761822e+02       1.025607400627e-09       4.575763014419e-07 
 2125       2.268231005502e+02       1.024282783101e-09       4.553553194320e-07 
 2126       2.260816205015e+02       1.022959993775e-09       4.531099520067e-07 
 2127       2.253315980394e+02       1.021639029189e-09       4.508392748366e-07 
 2128       2.245731958373e+02       1.020319885702e-09       4.485423587011e-07 
 2129       2.238065772389e+02       1.019002559487e-09       4.462182694772e-07 
 2130       2.230319062601e+02       1.017687046536e-09       4.438660681281e-07 
 2131       2.222493475886e+02       1.016373342650e-09       4.414848106919e-07 
 2132       2.214590665858e+02       1.015061443446e-09       4.390735482705e-07 
 2133       2.206612292867e+02       1.013751344355e-09       4.366313270180e-07 
 2134       2.198560024013e+02       1.012443040615e-09       4.341571881298e-07 
 2135       2.190435533154e+02       1.011136527277e-09       4.316501678307e-07 
 2136       2.182240500907e+02       1.009831799203e-09       4.291092973641e-07 
 2137       2.173976614668e+02       1.008528851061e-09       4.265336029803e-07 
 2138       2.165645568609e+02       1.007227677327e-09       4.239221059253e-07 
 2139       2.157249063691e+02       1.005928272285e-09       4.212738224294e-07 
 2140       2.148788807673e+02       1.004630630025e-09       4.185877636957e-07 
 2141       2.140266515119e+02       1.003334744439e-09       4.158629358889e-07 
 2142       2.131683907404e+02       1.002040609227e-09       4.130983401237e-07 
 2143       2.123042759913e+02       1.000748219051e-09       4.102934478015e-07 
 2144       2.114345043957e+02       9.994575730390e-10       4.074496319659e-07 
 2145       2.105592785841e+02       9.981686713298e-10       4.045687505845e-07 
 2146       2.096788019775e+02       9.968815139146e-10       4.016526725554e-07 
 2147       2.087932787881e+02       9.955961006367e-10       3.987032777337e-07 
 2148       2.079029140203e+02       9.943124311898e-10       3.957224569571e-07 
 2149       2.070079134718e+02       9.930305051183e-10       3.927121120717e-07 
 2150       2.061084837343e+02       9.917503218156e-10       3.896741559582e-07 
 2151       2.052048321947e+02       9.904718805242e-10       3.866105125580e-07 
 2152       2.042971670357e+02       9.891951803342e-10       3.835231168985e-07 
 2153       2.033856972370e+02       9.879202201830e-10       3.804139151198e-07 
 2154       2.024706325763e+02       9.866469988542e-10       3.772848645003e-07 
 2155       2.015521836297e+02       9.853755149770e-10       3.741379334830e-07 
 2156       2.006305617733e+02       9.841057670256e-10       3.709751017015e-07 
 2157       1.997059791837e+02       9.828377533179e-10       3.677983600061e-07 
 2158       1.987786488393e+02       9.815714720153e-10       3.646097104897e-07 
 2159       1.978487845206e+02       9.803069211216e-10       3.614111665145e-07 
 2160       1.969166008120e+02       9.790440984822e-10       3.582047527376e-07 
 2161       1.959823131018e+02       9.777830017833e-10       3.549925051374e-07 
 2162       1.950461375840e+02       9.765236285513e-10       3.517764710400e-07 
 2163       1.941082912586e+02       9.752659761521e-10       3.485587091453e-07 
 2164       1.931689919328e+02       9.740100417897e-10       3.453412895531e-07 
 2165       1.922284582220e+02       9.727558225061e-10       3.421262937898e-07 
 2166       1.912869095506e+02       9.715033151802e-10       3.389158148342e-07 
 2167       1.903445661527e+02       9.702525165268e-10       3.357119571444e-07 
 2168       1.894016490737e+02       9.690034230964e-10       3.325168366837e-07 
 2169       1.884583801706e+02       9.677560312738e-10       3.293325809474e-07 
 2170       1.875149821131e+02       9.665103372774e-10       3.261613289887e-07 
 2171       1.865716783847e+02       9.652663371587e-10       3.230052314458e-07 
 2172       1.856286932836e+02       9.640240268014e-10       3.198664505676e-07 
 2173       1.846862519234e+02       9.627834019203e-10       3.167471602410e-07 
 2174       1.837445802343e+02       9.615444580607e-10       3.136495460168e-07 
 2175       1.828039049637e+02       9.603071905978e-10       3.105758051365e-07 
 2176       1.818644536776e+02       9.590715947355e-10       3.075281465587e-07 
 2177       1.809264547613e+02       9.578376655057e-10       3.045087909859e-07 
 2178       1.799901374200e+02       9.566053977678e-10       3.015199708910e-07 
 2179       1.790557316804e+02       9.553747862073e-10       2.985639305440e-07 
 2180       1.781234683911e+02       9.541458253355e-10       2.956429260385e-07 
 2181       1.771935792238e+02       9.529185094885e-10       2.927592253185e-07 
 2182       1.762662817018e+02       9.516928338630e-10       2.899145891252e-07 
 2183       1.753417341748e+02       9.504687976404e-10       2.871087080727e-07 
 2184       1.744200805440e+02       9.492464009033e-10       2.843407499041e-07 
 2185       1.735014652075e+02       9.480256436014e-10       2.816098771323e-07 
 2186       1.725860330606e+02       9.468065255511e-10       2.789152470281e-07 
 2187       1.716739294968e+02       9.455890464348e-10       2.762560116076e-07 
 2188       1.707653004081e+02       9.443732058002e-10       2.736313176195e-07 
 2189       1.698602921854e+02       9.431590030596e-10       2.710403065329e-07 
 2190       1.689590517194e+02       9.419464374893e-10       2.684821145244e-07 
 2191       1.680617264009e+02       9.407355082289e-10       2.659558724657e-07 
 2192       1.671684641214e+02       9.395262142805e-10       2.634607059110e-07 
 2193       1.662794132737e+02       9.383185545082e-10       2.609957350844e-07 
 2194       1.653947227526e+02       9.371125276371e-10       2.585600748675e-07 
 2195       1.645145419551e+02       9.359081322531e-10       2.561528347866e-07 
 2196       1.636390207812e+02       9.347053668018e-10       2.537731190000e-07 
 2197       1.627683096346e+02       9.335042295881e-10       2.514200262856e-07 
 2198       1.619025594228e+02       9.323047187751e-10       2.490926500281e-07 
 2199       1.610419215581e+02       9.311068323839e-10       2.467900782066e-07 
 2200       1.601865479579e+02       9.299105682926e-10       2.445113933816e-07 
 2201       1.593365910454e+02       9.287159242358e-10       2.422556726823e-07 
 2202       1.584922037499e+02       9.275228978035e-10       2.400219877946e-07 
 2203       1.576535395078e+02       9.263314864410e-10       2.378094049473e-07 
 2204       1.568207522628e+02       9.251416874477e-10       2.356169849004e-07 
 2205       1.559939964664e+02       9.239534979768e-10       2.334437829317e-07 
 2206       1.551734270788e+02       9.227669150340e-10       2.312888488247e-07 
 2207       1.543591995693e+02       9.215819354776e-10       2.291512268551e-07 
 2208       1.535514699166e+02       9.203985560171e-10       2.270299557785e-07 
 2209       1.527503946096e+02       9.192167732129e-10       2.249240688179e-07 
 2210       1.519561306482e+02       9.180365834754e-10       2.228325936501e-07 
 2211       1.511688355434e+02       9.168579830645e-10       2.207545523938e-07 
 2212       1.503886673178e+02       9.156809680885e-10       2.186889615962e-07 
 2213       1.496157845069e+02       9.145055345038e-10       2.166348322203e-07 
 2214       1.488503461587e+02       9.133316781139e-10       2.145911696325e-07 
 2215       1.480925118349e+02       9.121593945689e-10       2.125569735889e-07 
 2216       1.473424416112e+02       9.109886793647e-10       2.105312382235e-07 
 2217       1.466002960781e+02       9.098195278420e-10       2.085129520345e-07 
 2218       1.458662363409e+02       9.086519351861e-10       2.065010978718e-07 
 2219       1.451404240210e+02       9.074858964260e-10       2.044946529240e-07 
 2220       1.444230212558e+02       9.063214064332e-10       2.024925887056e-07 
 2221       1.437141671940e+02       9.051584608495e-10       2.004941074133e-07 
 2222       1.430139073096e+02       9.039970588818e-10       1.984993535743e-07 
 2223       1.423222636226e+02       9.028372005426e-10       1.965087094057e-07 
 2224       1.416392581632e+02       9.016788857244e-10       1.945225590870e-07 
 2225       1.409649129708e+02       9.005221141995e-10       1.925412887649e-07 
 2226       1.402992500948e+02       8.993668856194e-10       1.905652865569e-07 
 2227       1.396422915940e+02       8.982131995140e-10       1.885949425565e-07 
 2228       1.389940595371e+02       8.970610552911e-10       1.866306488369e-07 
 2229       1.383545760021e+02       8.959104522357e-10       1.846727994557e-07 
 2230       1.377238630768e+02       8.947613895097e-10       1.827217904588e-07 
 2231       1.371019428586e+02       8.936138661510e-10       1.807780198853e-07 
 2232       1.364888374544e+02       8.924678810729e-10       1.788418877715e-07 
 2233       1.358845689805e+02       8.913234330637e-10       1.769137961554e-07 
 2234       1.352891595629e+02       8.901805207859e-10       1.749941490807e-07 
 2235       1.347026313372e+02       8.890391427758e-10       1.730833526017e-07 
 2236       1.341250064483e+02       8.878992974426e-10       1.711818147873e-07 
 2237       1.335563070507e+02       8.867609830679e-10       1.692899457256e-07 
 2238       1.329965553082e+02       8.856241978055e-10       1.674081575278e-07 
 2239       1.324457733943e+02       8.844889396799e-10       1.655368643333e-07 
 2240       1.319039834918e+02       8.833552065867e-10       1.636764823134e-07 
 2241       1.313712077928e+02       8.822229962911e-10       1.618274296761e-07 
 2242       1.308474684989e+02       8.810923064280e-10       1.599901266702e-07 
 2243       1.303327878213e+02       8.799631345007e-10       1.581649955901e-07 
 2244       1.298271879801e+02       8.788354778809e-10       1.563524607797e-07 
 2245       1.293306912051e+02       8.777093338078e-10       1.545529486370e-07 
 2246       1.288433197353e+02       8.765846993874e-10       1.527668876187e-07 
 2247       1.283650958192e+02       8.754615715920e-10       1.509947082444e-07 
 2248       1.278960417142e+02       8.743399472595e-10       1.492368431008e-07 
 2249       1.274361796874e+02       8.732198230930e-10       1.474937268467e-07 
 2250       1.269855320149e+02       8.721011956597e-10       1.457657962167e-07 
 2251       1.265441209822e+02       8.709840613907e-10       1.440534900264e-07 
 2252       1.261119688839e+02       8.698684165803e-10       1.423572491759e-07 
 2253       1.256890980240e+02       8.687542573853e-10       1.406775166552e-07 
 2254       1.252755307154e+02       8.676415798241e-10       1.390147375478e-07 
 2255       1.248712892805e+02       8.665303797768e-10       1.373693590358e-07 
 2256       1.244763960507e+02       8.654206529835e-10       1.357418304038e-07 
 2257       1.240908733666e+02       8.643123950449e-10       1.341326030437e-07 
 2258       1.237147435778e+02       8.632056014205e-10       1.325421304589e-07 
 2259       1.233480290432e+02       8.621002674287e-10       1.309708682690e-07 
 2260       1.229907338132e+02       8.609963890798e-10       1.294191867512e-07 
 2261       1.226427885472e+02       8.598939655887e-10       1.278871075272e-07 
 2262       1.223041052393e+02       8.587929968935e-10       1.263745643277e-07 
 2263       1.219745955029e+02       8.576934828239e-10       1.248814902217e-07 
 2264       1.216541705705e+02       8.565954231008e-10       1.234078176146e-07 
 2265       1.213427412931e+02       8.554988173359e-10       1.219534782466e-07 
 2266       1.210402181397e+02       8.544036650308e-10       1.205184031913e-07 
 2267       1.207465111970e+02       8.533099655768e-10       1.191025228533e-07 
 2268       1.204615301687e+02       8.522177182543e-10       1.177057669673e-07 
 2269       1.201851843753e+02       8.511269222322e-10       1.163280645956e-07 
 2270       1.199173827537e+02       8.500375765674e-10       1.149693441271e-07 
 2271       1.196580338565e+02       8.489496802042e-10       1.136295332750e-07 
 2272       1.194070458517e+02       8.478632319737e-10       1.123085590755e-07 
 2273       1.191643265223e+02       8.467782305937e-10       1.110063478858e-07 
 2274       1.189297832656e+02       8.456946746676e-10       1.097228253827e-07 
 2275       1.187033230932e+02       8.446125626841e-10       1.084579165605e-07 
