# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   63       2.255106757112e-10       3.208712028772e-14      -3.829649667934e-13       0.000000000000e+00       3.366986418839e-11       4.021119471507e-12      -7.947008630046e-15 
   64       2.284698657306e-10       3.360309105004e-14      -4.302834582426e-13       0.000000000000e+00       3.246334968443e-11       3.894088537006e-12      -8.269496879866e-15 
   65       2.314583870649e-10       3.515386376593e-14      -4.793248036714e-13       0.000000000000e+00       3.131634202781e-11       3.772828717301e-12      -8.523779700534e-15 
   66       2.344769726541e-10       3.673847567034e-14      -5.300863235295e-13       0.000000000000e+00       3.022429219975e-11       3.656866701878e-12      -8.719395275773e-15 
   67       2.375256683428e-10       3.835586271016e-14      -5.825644440612e-13       0.000000000000e+00       2.918094498396e-11       3.545551067361e-12      -8.867667911740e-15 
   68       2.406042888286e-10       4.000496941180e-14      -6.367522378415e-13       0.000000000000e+00       2.818000977275e-11       3.438237277622e-12      -8.980317390255e-15 
   69       2.437139920873e-10       4.168510993757e-14      -6.926313861960e-13       0.000000000000e+00       2.722075158967e-11       3.334905664124e-12      -9.064792987264e-15 
   70       2.468559456329e-10       4.339567602254e-14      -7.501786453576e-13       0.000000000000e+00       2.630338910059e-11       3.235653608129e-12      -9.128123736438e-15 
   71       2.500308233180e-10       4.513603143484e-14      -8.093681705214e-13       0.000000000000e+00       2.542740363216e-11       3.140509237982e-12      -9.178336550606e-15 
   72       2.532387737085e-10       4.690551234340e-14      -8.701714880292e-13       0.000000000000e+00       2.459150105058e-11       3.049427681546e-12      -9.224493381092e-15 
