# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       2.243970686991e+04       1.435388137551e-06       1.997182216215e+01       1.160728324359e+03       1.454777758592e+04       6.482762628760e-01       3.264624124143e+08       1.144708271253e+01       6.977907422361e+05       2.770270105966e+04       1.390868727495e+05       3.601553394783e-08       4.827099269250e+05       1.347290242970e+06       3.182276491929e-04       2.041113531662e-01 
       2.228368031289e+04       1.455126491305e-06       2.010715524982e+01       1.145139687980e+03       1.454764225283e+04       6.528091069100e-01       3.241895569107e+08       1.152407551387e+01       6.785857023521e+05       2.712887233385e+04       1.362058524910e+05       3.601553394783e-08       4.694244778099e+05       1.311344904987e+06       3.186821838609e-04       2.050303277137e-01 
       2.212873837868e+04       1.475133540741e-06       2.024337685128e+01       1.129763385996e+03       1.454750603123e+04       6.573736111244e-01       3.219325025335e+08       1.160156593253e+01       6.599092114047e+05       2.656692905651e+04       1.333845054700e+05       3.601553394783e-08       4.565046624057e+05       1.276365308337e+06       3.191394194894e-04       2.059536857726e-01 
       2.197487352785e+04       1.495412890119e-06       2.038049243723e+01       1.114596502203e+03       1.454736891565e+04       6.619699961966e-01       3.196911394532e+08       1.167955692451e+01       6.417467235511e+05       2.601662506130e+04       1.306215957598e+05       3.601553394783e-08       4.439404183510e+05       1.242325362723e+06       3.195993756292e-04       2.068814349857e-01 
       2.182207827337e+04       1.515968191025e-06       2.051850750760e+01       1.099636160623e+03       1.454723090058e+04       6.665984843361e-01       3.174653586041e+08       1.175805146015e+01       6.240840932432e+05       2.547771928021e+04       1.279159130310e+05       3.601553394783e-08       4.317219601956e+05       1.209199685750e+06       3.200620719707e-04       2.078135828517e-01 
       2.167034518027e+04       1.536803142969e-06       2.065742759170e+01       1.084879524948e+03       1.454709198049e+04       6.712592992951e-01       3.152550516784e+08       1.183705252409e+01       6.069075642114e+05       2.494997563798e+04       1.252662720212e+05       3.601553394783e-08       4.198397717802e+05       1.176963583651e+06       3.205275283456e-04       2.087501367224e-01 
       2.151966686527e+04       1.557921494001e-06       2.079725824827e+01       1.070323797990e+03       1.454695214984e+04       6.759526663792e-01       3.130601111216e+08       1.191656311533e+01       5.902037587526e+05       2.443316294865e+04       1.226715120156e+05       3.601553394783e-08       4.082845988259e+05       1.145593032543e+06       3.209957647275e-04       2.096911038013e-01 
       2.137003599638e+04       1.579327041323e-06       2.093800506557e+01       1.055966221142e+03       1.454681140302e+04       6.806788124581e-01       3.108804301265e+08       1.199658624725e+01       5.739596673120e+05       2.392705481434e+04       1.201304963391e+05       3.601553394783e-08       3.970474417276e+05       1.115064660193e+06       3.214668012333e-04       2.106364911419e-01 
       2.122144529262e+04       1.601023631917e-06       2.107967366158e+01       1.041804073846e+03       1.454666973442e+04       6.854379659765e-01       3.087159026286e+08       1.207712494765e+01       5.581626383525e+05       2.343142952610e+04       1.176421118582e+05       3.601553394783e-08       3.861195485454e+05       1.085355728282e+06       3.219406581236e-04       2.115863056450e-01 
       2.107388752360e+04       1.623015163174e-06       2.122226968397e+01       1.027834673064e+03       1.454652713840e+04       6.902303569645e-01       3.065664233008e+08       1.215818225875e+01       5.428003685022e+05       2.294606996676e+04       1.152052684932e+05       3.601553394783e-08       3.754924081895e+05       1.056444115152e+06       3.224173558043e-04       2.125405540574e-01 
       2.092735550919e+04       1.645305583539e-06       2.136579881033e+01       1.014055372760e+03       1.454638360927e+04       6.950562170490e-01       3.044318875479e+08       1.223976123724e+01       5.278608929735e+05       2.247076351584e+04       1.128188987413e+05       3.601553394783e-08       3.651577437919e+05       1.028308299023e+06       3.228969148273e-04       2.134992429697e-01 
       2.078184211918e+04       1.667898893153e-06       2.151026674818e+01       1.000463563390e+03       1.454623914134e+04       6.999157794648e-01       3.023121915021e+08       1.232186495430e+01       5.133325762451e+05       2.200530195646e+04       1.104819572084e+05       3.601553394783e-08       3.551075062610e+05       1.000927341671e+06       3.233793558915e-04       2.144623788144e-01 
       2.063734027291e+04       1.690799144511e-06       2.165567923511e+01       9.870566713978e+02       1.454609372885e+04       7.048092790649e-01       3.002072320177e+08       1.240449649563e+01       4.992041030015e+05       2.154948138409e+04       1.081934201517e+05       3.601553394783e-08       3.453338680137e+05       9.742808725510e+05       3.238646998443e-04       2.154299678639e-01 
       2.049384293897e+04       1.714010443128e-06       2.180204203888e+01       9.738321587155e+02       1.454594736604e+04       7.097369523327e-01       2.981169066657e+08       1.248765896145e+01       4.854644693210e+05       2.110310211727e+04       1.059522850310e+05       3.601553394783e-08       3.358292168791e+05       9.483490733484e+05       3.243529676820e-04       2.164020162286e-01 
       2.035134313481e+04       1.737536948205e-06       2.194936095753e+01       9.607875222741e+02       1.454580004713e+04       7.146990373924e-01       2.960411137294e+08       1.257135546655e+01       4.721029741064e+05       2.066596861015e+04       1.037575700699e+05       3.601553394783e-08       3.265861501712e+05       9.231126629577e+05       3.248441805512e-04       2.173785298549e-01 
       2.020983392640e+04       1.761382873315e-06       2.209764181948e+01       9.479202935203e+02       1.454565176626e+04       7.196957740206e-01       2.939797521993e+08       1.265558914032e+01       4.591092107518e+05       2.023788936680e+04       1.016083138253e+05       3.601553394783e-08       3.175974689237e+05       8.985528828676e+05       3.253383597498e-04       2.183595145235e-01 
       2.006930842795e+04       1.785552487084e-06       2.224689048358e+01       9.352280379386e+02       1.454550251760e+04       7.247274036577e-01       2.919327217678e+08       1.274036312673e+01       4.464730590382e+05       1.981867685741e+04       9.950357476665e+04       3.601553394783e-08       3.088561722841e+05       8.746514829464e+05       3.258355267283e-04       2.193449758468e-01 
