# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   89       3.065740170633e-10       7.712999265555e-14      -1.977470274177e-12       3.447409312334e-16       1.510781222553e-11       1.868035428392e-12      -1.100267444229e-14 
   90       3.102209081587e-10       7.914008037586e-14      -2.056758550043e-12       3.525792353251e-16       1.468791559701e-11       1.825865439605e-12      -1.070717007047e-14 
   91       3.138978337767e-10       8.115286442301e-14      -2.136906026977e-12       3.605074056323e-16       1.428326495114e-11       1.785095915999e-12      -1.038447047652e-14 
   92       3.176042462868e-10       8.316699012835e-14      -2.217891006864e-12       3.685254342806e-16       1.389237141812e-11       1.745606435244e-12      -1.005860096048e-14 
   93       3.213395777103e-10       8.518103358844e-14      -2.299685309071e-12       3.766334141677e-16       1.351383323922e-11       1.707282069653e-12      -9.751005953407e-15 
   94       3.251039914286e-10       8.719331872974e-14      -2.382230664532e-12       3.848318754263e-16       1.314747702047e-11       1.670109922198e-12      -9.465604421682e-15 
   95       3.288977241470e-10       8.920207409670e-14      -2.465458887934e-12       3.931214995545e-16       1.279337200472e-11       1.634095591170e-12      -9.201583547328e-15 
   96       3.327208482248e-10       9.120548833903e-14      -2.549298995878e-12       4.015030191171e-16       1.245147858011e-11       1.599233329601e-12      -8.957921240696e-15 
   97       3.365732642053e-10       9.320171022480e-14      -2.633677176411e-12       4.099772190690e-16       1.212164410827e-11       1.565505608979e-12      -8.733379204225e-15 
   98       3.404546933468e-10       9.518884865349e-14      -2.718516758564e-12       4.185449380785e-16       1.180359875262e-11       1.532882682951e-12      -8.526495996197e-15 
   99       3.443646701530e-10       9.716497266906e-14      -2.803738181885e-12       4.272070698507e-16       1.149695130663e-11       1.501322151034e-12      -8.335580094497e-15 
  100       3.483025349034e-10       9.912811147308e-14      -2.889258965972e-12       4.359645644514e-16       1.120118502208e-11       1.470768522323e-12      -8.158702960366e-15 
  101       3.522674261838e-10       1.010762544377e-13      -2.974993680010e-12       4.448184296298e-16       1.091565343733e-11       1.441152779202e-12      -7.993692102160e-15 
  102       3.562582734172e-10       1.030073511189e-13      -3.060853912305e-12       4.537697321424e-16       1.063957620561e-11       1.412391941047e-12      -7.838124139108e-15 
  103       3.602737893939e-10       1.049193112694e-13      -3.146748239815e-12       4.628195990763e-16       1.037203492325e-11       1.384388627938e-12      -7.689317865066e-15 
  104       3.643127577688e-10       1.068100897296e-13      -3.232588418874e-12       4.719691103684e-16       1.011218150310e-11       1.357054053329e-12      -7.544894951289e-15 
  105       3.683749558710e-10       1.086779541332e-13      -3.318308975381e-12       4.812189569776e-16       9.859904337461e-12       1.330381479086e-12      -7.404563256321e-15 
  106       3.724603432077e-10       1.105212535572e-13      -3.403850216485e-12       4.905697387887e-16       9.615244765668e-12       1.304381915974e-12      -7.268562605594e-15 
  107       3.765687734518e-10       1.123383378080e-13      -3.489152283150e-12       5.000220694198e-16       9.378190750929e-12       1.279061404110e-12      -7.137117974340e-15 
  108       3.806999902141e-10       1.141275583674e-13      -3.574155188059e-12       5.095765763496e-16       9.148675044241e-12       1.254420834125e-12      -7.010438789142e-15 
  109       3.848536228152e-10       1.158872693380e-13      -3.658798853513e-12       5.192339010457e-16       8.926573348320e-12       1.230455768340e-12      -6.888718229481e-15 
  110       3.890291820574e-10       1.176158283890e-13      -3.743023149328e-12       5.289946990918e-16       8.711702481532e-12       1.207156261935e-12      -6.772132529283e-15 
  111       3.932260559965e-10       1.193115977023e-13      -3.826767930735e-12       5.388596403160e-16       8.503818541815e-12       1.184506684116e-12      -6.660840278468e-15 
  112       3.974435057138e-10       1.209729449184e-13      -3.909973076280e-12       5.488294089181e-16       8.302615070611e-12       1.162485539284e-12      -6.554981724500e-15 
  113       4.016806610882e-10       1.225982440815e-13      -3.992578525722e-12       5.589047035978e-16       8.107721216793e-12       1.141065288210e-12      -6.454678073932e-15 
  114       4.059365165678e-10       1.241858765861e-13      -4.074524317931e-12       5.690862376822e-16       7.918699900593e-12       1.120212169197e-12      -6.360030793955e-15 
  115       4.102099269420e-10       1.257342321223e-13      -4.155750628790e-12       5.793747392534e-16       7.735045977527e-12       1.099886019256e-12      -6.271120913950e-15 
  116       4.144997751418e-10       1.272417361846e-13      -4.236196323734e-12       5.897709418852e-16       7.556297093188e-12       1.080049292903e-12      -6.187939599190e-15 
  117       4.188055078259e-10       1.287069343694e-13      -4.315794334702e-12       6.002755552994e-16       7.382385463330e-12       1.060695744854e-12      -6.110171789177e-15 
  118       4.231266572754e-10       1.301284201503e-13      -4.394475789660e-12       6.108892913649e-16       7.213325614820e-12       1.041824915025e-12      -6.037384819769e-15 
  119       4.274626725136e-10       1.315048104001e-13      -4.472171472167e-12       6.216128732145e-16       7.049104691158e-12       1.023433146481e-12      -5.969093505358e-15 
  120       4.318129165998e-10       1.328347465714e-13      -4.548811846137e-12       6.324470352895e-16       6.889681612791e-12       1.005513487931e-12      -5.904758832741e-15 
  121       4.361766639214e-10       1.341168958774e-13      -4.624327080608e-12       6.433925233846e-16       6.734986237418e-12       9.880555962217e-13      -5.843786654996e-15 
  122       4.405530974876e-10       1.353499524727e-13      -4.698647074505e-12       6.544500946922e-16       6.584918520304e-12       9.710456388292e-13      -5.785526385358e-15 
  123       4.449413062217e-10       1.365326386335e-13      -4.771701481408e-12       6.656205178479e-16       6.439347674590e-12       9.544661963512e-13      -5.729269691092e-15 
  124       4.493402822545e-10       1.376637059387e-13      -4.843419734317e-12       6.769045729743e-16       6.298111331601e-12       9.382961649997e-13      -5.674249187370e-15 
  125       4.537489182170e-10       1.387419364504e-13      -4.913731070419e-12       6.883030517266e-16       6.161014701157e-12       9.225106590936e-13      -5.619637131145e-15 
  126       4.581660045336e-10       1.397661438945e-13      -4.982564555854e-12       6.998167573367e-16       6.027829731887e-12       9.070809135516e-13      -5.564544115027e-15 
  127       4.625902267147e-10       1.407351748415e-13      -5.049849110477e-12       7.114465046583e-16       5.898294271532e-12       8.919741863842e-13      -5.508017761154e-15 
  128       4.670201626498e-10       1.416479098869e-13      -5.115513532631e-12       7.231931202114e-16       5.772111227262e-12       8.771536611866e-13      -5.449041415073e-15 
