# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_scf            18:(.)p_scf              19:(.)w_scf              20:phi_scf               21:phi'_scf              22:V_scf                 23:V'_scf                24:V''_scf               25:gr.fac. D             26:gr.fac. f          
       1.682045172455e+07       1.990261063385e-12       2.052933346022e-02       8.194403725179e+08       1.195666041829e+04       7.108405828363e-04       2.011164413094e+11       1.185249849880e-02       2.202570380899e+17       1.166609635662e+13       6.374204245690e+13       1.461743466675e-08       1.494403059669e-06      -9.000000000000e-01       1.523669666645e+17       6.714825241123e+17       2.987831112191e+17       9.958199876669e+16       3.332919265764e-01      -1.341958877782e+01       6.499255254266e+01       2.988016686786e+17      -8.959550107227e+17       2.686515723922e+18       1.218533471519e-03       6.392351935146e-02 
       1.670352699449e+07       2.018220211507e-12       2.067302075375e-02       8.080880173881e+08       1.195666027460e+04       7.158164597653e-04       1.997184096174e+11       1.193545474277e-02       2.141962725757e+17       1.142449849734e+13       6.242198298426e+13       1.461743466675e-08       1.491279015167e-06      -9.000000000000e-01       1.481743176347e+17       6.530062438462e+17       2.905618071543e+17       9.684240760656e+16       3.332936580861e-01      -1.341028270224e+01       6.454083632746e+01       2.905790993216e+17      -8.712996858412e+17       2.612586880197e+18       1.219076827643e-03       6.389616964972e-02 
       1.658741504859e+07       2.046572141320e-12       2.081771377379e-02       7.968929312314e+08       1.195666012991e+04       7.208271677088e-04       1.983300961264e+11       1.201899162036e-02       2.083022798572e+17       1.118790398544e+13       6.112926115503e+13       1.461743466675e-08       1.488161501478e-06      -9.000000000000e-01       1.440970368365e+17       6.350383438466e+17       2.825667099878e+17       9.417817743083e+16       3.332953745149e-01      -1.340097662219e+01       6.409225814740e+01       2.825827988355e+17      -8.473228268114e+17       2.540692412257e+18       1.219620193513e-03       6.386885291938e-02 
       1.647211023690e+07       2.075322370936e-12       2.096341956167e-02       7.858529354624e+08       1.195665998420e+04       7.258729504824e-04       1.969514332816e+11       1.210311319595e-02       2.025704708820e+17       1.095620920459e+13       5.986331082281e+13       1.461743466675e-08       1.485050504948e-06      -9.000000000000e-01       1.401319497064e+17       6.175648361748e+17       2.747915960664e+17       9.158723540457e+16       3.332970757317e-01      -1.339167053785e+01       6.364679622030e+01       2.748065409927e+17      -8.240057643275e+17       2.470776340301e+18       1.220163569207e-03       6.384156917237e-02 
       1.635760694876e+07       2.104476495986e-12       2.111014520597e-02       7.749658816721e+08       1.195665983748e+04       7.309540536083e-04       1.955823539981e+11       1.218782356235e-02       1.969963828740e+17       1.072931268424e+13       5.862357756576e+13       1.461743466675e-08       1.481946011954e-06      -9.000000000000e-01       1.362759690346e+17       6.005721177559e+17       2.672304129570e+17       8.906756570244e+16       3.332987616076e-01      -1.338236444938e+01       6.320442891514e+01       2.672442708818e+17      -8.013303427734e+17       2.402784224824e+18       1.220706954803e-03       6.381431842101e-02 
       1.624389961248e+07       2.134040190716e-12       2.125789784805e-02       7.642296512109e+08       1.195665968973e+04       7.360707243273e-04       1.942227916571e+11       1.227312684103e-02       1.915756758583e+17       1.050711505527e+13       5.740951844379e+13       1.461743466675e-08       1.478848008900e-06      -9.000000000000e-01       1.325260925616e+17       5.840469597900e+17       2.598772747366e+17       8.661720794085e+16       3.333004320160e-01      -1.337305835696e+01       6.276513475103e+01       2.598901001936e+17      -7.792789060900e+17       2.336663124237e+18       1.221250350381e-03       6.378710067803e-02 
       1.613098269512e+07       2.164019209085e-12       2.140668467291e-02       7.536421547758e+08       1.195665954094e+04       7.412232116109e-04       1.928726801030e+11       1.235902718229e-02       1.863041292822e+17       1.028951900643e+13       5.622060176080e+13       1.461743466675e-08       1.475756482218e-06      -9.000000000000e-01       1.288794006402e+17       5.679764974551e+17       2.527264574119e+17       8.423425565315e+16       3.333020868324e-01      -1.336375226076e+01       6.232889239613e+01       2.527383026381e+17      -7.578342840306e+17       2.272361553660e+18       1.221793756019e-03       6.375991595653e-02 
       1.601885070220e+07       2.194419385888e-12       2.155651292378e-02       7.432013320039e+08       1.195665939111e+04       7.464117661735e-04       1.915319536400e+11       1.244552876549e-02       1.811776387291e+17       1.007642924171e+13       5.505630683177e+13       1.461743466675e-08       1.472671418369e-06      -9.000000000000e-01       1.253330539627e+17       5.523482198924e+17       2.457723944645e+17       8.191685480686e+16       3.333037259345e-01      -1.335444616094e+01       6.189568066666e+01       2.457833094864e+17      -7.369797787952e+17       2.209829444839e+18       1.222337171798e-03       6.373276427003e-02 
       1.590749817744e+07       2.225246637892e-12       2.170738989116e-02       7.329051510720e+08       1.195665924023e+04       7.516366404842e-04       1.902005470289e+11       1.253263579923e-02       1.761922127228e+17       9.867752438657e+12       5.391612375479e+13       1.461743466675e-08       1.469592803843e-06      -9.000000000000e-01       1.218842913502e+17       5.371499604679e+17       2.390096725188e+17       7.966320236156e+16       3.333053492021e-01      -1.334514005769e+01       6.146547852581e+01       2.390197052358e+17      -7.166991520314e+17       2.149018107171e+18       1.222880597797e-03       6.370564563245e-02 
       1.579691970247e+07       2.256506964985e-12       2.185932291286e-02       7.227516083009e+08       1.195665908830e+04       7.568980887796e-04       1.888783954844e+11       1.262035252156e-02       1.713439696196e+17       9.663397207441e+12       5.279955318771e+13       1.461743466675e-08       1.466520625157e-06      -9.000000000000e-01       1.185304276022e+17       5.223698873015e+17       2.324330271293e+17       7.747154486660e+16       3.333069565174e-01      -1.333583395115e+01       6.103826508276e+01       2.324422233941e+17      -6.969766121938e+17       2.089880189803e+18       1.223424034098e-03       6.367856005812e-02 
       1.568710989660e+07       2.288206451348e-12       2.201231938307e-02       7.127387277656e+08       1.195665893531e+04       7.621963670759e-04       1.875654346710e+11       1.270868320019e-02       1.666291345864e+17       9.463274050876e+12       5.170610612947e+13       1.461743466675e-08       1.463454868857e-06      -9.000000000000e-01       1.152688514067e+17       5.079964940570e+17       2.260373386837e+17       7.534017709719e+16       3.333085477644e-01      -1.332652784151e+01       6.061401959167e+01       2.260457423797e+17      -6.777968022512e+17       2.032369644769e+18       1.223967480783e-03       6.365150756177e-02 
