# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
  163       7.730792144073e+03       6.461475765559e-09       5.487300710256e-05 
  164       7.753263620063e+03       6.421382938513e-09       5.349195610568e-05 
  165       7.774209454254e+03       6.381575083047e-09       5.211159929318e-05 
  166       7.793629183378e+03       6.342097748459e-09       5.073329881155e-05 
  167       7.811523540304e+03       6.302987680197e-09       4.935841196933e-05 
  168       7.827894474158e+03       6.264272098641e-09       4.798828946349e-05 
  169       7.842745170454e+03       6.225967955698e-09       4.662427357245e-05 
  170       7.856080071217e+03       6.188081168911e-09       4.526769631596e-05 
  171       7.867904895114e+03       6.150605832831e-09       4.391987758179e-05 
  172       7.878226657577e+03       6.113523407388e-09       4.258212321917e-05 
  173       7.887053690930e+03       6.076801882979e-09       4.125572309898e-05 
  174       7.894395664518e+03       6.040394922021e-09       3.994194914081e-05 
  175       7.900263604831e+03       6.004240976694e-09       3.864205330672e-05 
  176       7.904669915632e+03       5.968262382611e-09       3.735726556185e-05 
  177       7.907628398083e+03       5.932364428140e-09       3.608879180179e-05 
  178       7.909154270871e+03       5.896434399124e-09       3.483781174672e-05 
  179       7.909264190337e+03       5.860340598722e-09       3.360547680235e-05 
  180       7.907975950676e+03       5.823967138544e-09       3.239285417306e-05 
  181       7.905307515853e+03       5.787326696427e-09       3.120075633078e-05 
  182       7.901277949207e+03       5.750463629208e-09       3.002988708338e-05 
  183       7.895907745273e+03       5.713419463060e-09       2.888089065140e-05 
  184       7.889218848730e+03       5.676232611433e-09       2.775434875624e-05 
  185       7.881234673349e+03       5.638938084477e-09       2.665077766856e-05 
  186       7.871980120944e+03       5.601567189824e-09       2.557062521685e-05 
  187       7.861481600315e+03       5.564147224638e-09       2.451426775627e-05 
  188       7.849767046201e+03       5.526701158852e-09       2.348200709764e-05 
  189       7.836865938226e+03       5.489247309468e-09       2.247406739666e-05 
  190       7.822809319847e+03       5.451799005848e-09       2.149059200338e-05 
  191       7.807629817303e+03       5.414364245880e-09       2.053164027179e-05 
  192       7.791361658565e+03       5.376945342934e-09       1.959718432973e-05 
  193       7.774040692281e+03       5.339538563511e-09       1.868710580887e-05 
  194       7.755704406724e+03       5.302133755472e-09       1.780119253507e-05 
  195       7.736391948745e+03       5.264713966775e-09       1.693913517878e-05 
  196       7.716144142717e+03       5.227255054601e-09       1.610052386577e-05 
  197       7.695003509483e+03       5.189725284782e-09       1.528484474800e-05 
  198       7.673014285308e+03       5.152084921440e-09       1.449147653473e-05 
  199       7.650222440823e+03       5.114285806720e-09       1.371968698386e-05 
  200       7.626675699977e+03       5.076270930541e-09       1.296862935338e-05 
  201       7.602420390460e+03       5.037992249383e-09       1.223761608497e-05 
  202       7.577491704876e+03       4.999467934516e-09       1.152698018044e-05 
  203       7.551922779647e+03       4.960732393413e-09       1.083729891175e-05 
  204       7.525747810533e+03       4.921818583910e-09       1.016912349892e-05 
  205       7.499002062215e+03       4.882757869305e-09       9.522977869978e-06 
  206       7.471721877877e+03       4.843579869455e-09       8.899357405285e-06 
  207       7.443944688793e+03       4.804312307816e-09       8.298727666647e-06 
  208       7.415709023905e+03       4.764980854390e-09       7.721523110934e-06 
  209       7.387054519415e+03       4.725608964548e-09       7.168145788358e-06 
  210       7.358021928361e+03       4.686217713666e-09       6.638964025333e-06 
  211       7.328653130202e+03       4.646825627551e-09       6.134311091970e-06 
  212       7.298991140405e+03       4.607448508614e-09       5.654483854160e-06 
  213       7.269080120028e+03       4.568099257736e-09       5.199741410285e-06 
  214       7.238965385300e+03       4.528787691801e-09       4.770303712529e-06 
  215       7.208693417208e+03       4.489520356845e-09       4.366350172802e-06 
  216       7.178311871078e+03       4.450300336783e-09       3.988018253275e-06 
  217       7.147869586162e+03       4.411127057676e-09       3.635402041525e-06 
  218       7.117416595220e+03       4.371996087489e-09       3.308550810291e-06 
  219       7.087004134101e+03       4.332898931303e-09       3.007467561838e-06 
  220       7.056684651331e+03       4.293822821947e-09       2.732107556931e-06 
  221       7.026511817695e+03       4.254750505994e-09       2.482376828425e-06 
  222       6.996540535819e+03       4.215660025088e-09       2.258130679461e-06 
  223       6.966826949755e+03       4.176524492566e-09       2.059172166268e-06 
  224       6.937423218265e+03       4.137322722950e-09       1.885297481642e-06 
  225       6.908361441478e+03       4.098073129909e-09       1.736440193071e-06 
  226       6.879668719231e+03       4.058803712570e-09       1.612537899036e-06 
  227       6.851372291602e+03       4.019541494911e-09       1.513485315056e-06 
  228       6.823499536026e+03       3.980312438887e-09       1.439133020632e-06 
  229       6.796077964414e+03       3.941141355416e-09       1.389286193786e-06 
  230       6.769135220266e+03       3.902051813203e-09       1.363703333196e-06 
  231       6.742699075789e+03       3.863066045376e-09       1.362094967933e-06 
  232       6.716797429012e+03       3.824204853933e-09       1.384122354782e-06 
  233       6.691458300904e+03       3.785487511952e-09       1.429396163168e-06 
  234       6.666709832490e+03       3.746931663577e-09       1.497475147675e-06 
  235       6.642580281964e+03       3.708553221729e-09       1.587864808164e-06 
  236       6.619098021809e+03       3.670366263548e-09       1.700016037474e-06 
  237       6.596291535914e+03       3.632382923528e-09       1.833323756738e-06 
  238       6.574189416685e+03       3.594613284337e-09       1.987125538282e-06 
  239       6.552820362167e+03       3.557065265291e-09       2.160700216117e-06 
  240       6.532213173155e+03       3.519744508480e-09       2.353266484041e-06 
  241       6.512396750316e+03       3.482654262506e-09       2.563981481323e-06 
  242       6.493400091301e+03       3.445795263826e-09       2.791939365989e-06 
  243       6.475252287861e+03       3.409165615677e-09       3.036169875700e-06 
  244       6.457982522967e+03       3.372760664563e-09       3.295636876234e-06 
  245       6.441620067922e+03       3.336572874287e-09       3.569236897554e-06 
  246       6.426194279480e+03       3.300591697500e-09       3.855797657474e-06 
  247       6.411734596962e+03       3.264803444760e-09       4.154076572929e-06 
  248       6.398270539371e+03       3.229191151068e-09       4.462759258827e-06 
  249       6.385831702507e+03       3.193734439877e-09       4.780458014509e-06 
  250       6.374443639157e+03       3.158417363474e-09       5.105932189631e-06 
  251       6.364115241921e+03       3.123253224078e-09       5.438773665480e-06 
  252       6.354850626493e+03       3.088262329242e-09       5.778777556134e-06 
  253       6.346653172357e+03       3.053464211375e-09       6.125725309115e-06 
  254       6.339525512030e+03       3.018877573269e-09       6.479384423155e-06 
  255       6.333469520307e+03       2.984520232448e-09       6.839508163725e-06 
  256       6.328486303504e+03       2.950409064352e-09       7.205835276323e-06 
  257       6.324576188699e+03       2.916559944322e-09       7.578089697521e-06 
  258       6.321738712976e+03       2.882987688404e-09       7.955980263770e-06 
  259       6.319972612671e+03       2.849705992930e-09       8.339200417969e-06 
  260       6.319275812612e+03       2.816727372897e-09       8.727427913786e-06 
  261       6.319645415362e+03       2.784063099117e-09       9.120324517748e-06 
  262       6.321077690466e+03       2.751723134133e-09       9.517535709081e-06 
  263       6.323568063691e+03       2.719716066889e-09       9.918690377316e-06 
  264       6.327111106268e+03       2.688049046153e-09       1.032340051765e-05 
  265       6.331700524140e+03       2.656727712672e-09       1.073126092408e-05 
  266       6.337329147200e+03       2.625756130054e-09       1.114184888026e-05 
  267       6.343988918539e+03       2.595136714379e-09       1.155472384818e-05 
  268       6.351670883685e+03       2.564870162503e-09       1.196942715451e-05 
  269       6.360365179848e+03       2.534955379074e-09       1.238548167485e-05 
  270       6.370061025165e+03       2.505389402236e-09       1.280239151554e-05 
  271       6.380746707940e+03       2.476167328008e-09       1.321964169343e-05 
  272       6.392409575890e+03       2.447282233337e-09       1.363669781329e-05 
  273       6.405036025384e+03       2.418725097819e-09       1.405300574298e-05 
  274       6.418611490694e+03       2.390484724058e-09       1.446799128644e-05 
